chr	start	end	strand	type	gene	name	product	locus	CO2_30percent	CO2_4percent
NC_000911.1	689	909	-	non-coding	SLR0612-AS	slr0612-as	SLR0612-AS-RNA	slr0612-as	-0.26434183594392663	-0.37327254544445665
NC_000911.1	811	1494	+	protein-coding	SGL_RS01880	slr0612	pseudouridine synthase	slr0612	-1.5063555448695316	0.02467637678481909
NC_000911.1	1577	2098	+	protein-coding	SGL_RS01885	slr0613	hypothetical protein	slr0613	-0.4854360054064914	0.044647287241768
NC_000911.1	2172	2873	-	protein-coding	SGL_RS01890	gun4	tetrapyrrole-binding protein	sll0558	-2.0446428606401605	-4.1644099450417045
NC_000911.1	2172	2873	-	protein-coding	SGL_RS01890	gun4	tetrapyrrole-binding protein	sll0558	-1.1539820409478645	-3.425931344107253
NC_000911.1	3192	4268	-	protein-coding	SGL_RS01895	acsF1	magnesium-protoporphyrin IX monomethyl ester [oxidative] cyclase 1 catalytic subunit	sll1214	-1.898814672486576	-3.0246502188602093
NC_000911.1	4451	5389	-	protein-coding	SGL_RS01900	wcaG	GDP-L-fucose synthase	sll1213	-0.9294211497840712	0.9277234200865582
NC_000911.1	5534	6622	-	protein-coding	SGL_RS01905	gmd	GDP-mannose 4,6-dehydratase	sll1212	-0.4369687496929696	1.711013822110118
NC_000911.1	7229	8311	+	protein-coding	SGL_RS01910	psbA2	photosystem II protein D1 2 // photosystem II protein D1 2 precursor	slr1311	-0.420987573008484	0.15140624150087004
NC_000911.1	8492	10471	+	protein-coding	SGL_RS01915	adc1	biosynthetic arginine decarboxylase	slr1312	0.32893409730642736	0.18499611801824625
NC_000911.1	8492	10471	+	protein-coding	SGL_RS01915	adc1	biosynthetic arginine decarboxylase	slr1312	0.48455678591731827	-0.14897833347484635
NC_000911.1	10622	12631	-	protein-coding	SGL_RS01920	ligA	NAD-dependent DNA ligase LigA	sll1209	-1.2810892675059875	-0.7892602193639592
NC_000911.1	12722	12851	-	non-coding	SLR1315-AS	slr1315-as	SLR1315-AS-RNA	slr1315-as	-1.1064524969636216	-0.7166829305805229
NC_000911.1	12729	12818	-	non-coding	SLR1315-AS2	slr1315-as2	SLR1315-AS2-RNA	slr1315-as2	-0.7230893235707869	-0.6723673444079539
NC_000911.1	12782	13363	+	protein-coding	SGL_RS01925	slr1315	Uma2 family endonuclease	slr1315	-1.0850673371236634	-0.7006615914879488
NC_000911.1	13498	14529	+	protein-coding	SGL_RS01930	fecC	iron(III) dicitrate ABC transporter permease	slr1316	0.5769985545518704	0.1553450882848736
NC_000911.1	14626	15675	+	protein-coding	SGL_RS01935	fecD	iron(III) dicitrate ABC transporter permease	slr1317	-0.03270047634233658	0.2733567960782344
NC_000911.1	15315	15338	-	non-coding	SLR1317-AS	slr1317-as	SLR1317-AS-RNA	slr1317-as	-0.23245190061991897	0.2722624474924694
NC_000911.1	15937	16743	+	protein-coding	SGL_RS01940	fecE	iron(III) dicitrate ABC transporter ATP-binding protein	slr1318	0.35795123054074673	0.25707993043200084
NC_000911.1	16740	17687	+	protein-coding	SGL_RS01945	fecB1	iron(III) dicitrate ABC transporter substrate-binding protein	slr1319	-0.9403076293577324	-1.382206367231111
NC_000911.1	17853	20393	-	protein-coding	SGL_RS01950	iutA	TonB-dependent receptor	sll1206	-0.126980369490159	-0.05999105569359857
NC_000911.1	17853	20393	-	protein-coding	SGL_RS01950	iutA	TonB-dependent receptor	sll1206	0.15728608908281852	0.2175248155430661
NC_000911.1	19470	19578	+	non-coding	SLL1206-AS2	sll1206-as2	SLL1206-AS2-RNA	sll1206-as2	-0.3310629414788467	0.3603762056607749
NC_000911.1	20142	20193	+	non-coding	SLL1206-AS	sll1206-as	SLL1206-AS-RNA	sll1206-as	0.20542688546664817	0.11354304253629532
NC_000911.1	20615	21595	-	protein-coding	SGL_RS01955	sll1205	AraC family transcriptional regulator	sll1205	0.3973308199212628	0.185682636157821
NC_000911.1	21838	23121	-	protein-coding	SGL_RS01960	sll1204	MFS transporter	sll1204	0.1142484774937631	0.3003173227299571
NC_000911.1	23139	24104	-	protein-coding	SGL_RS01965	sll1203	sucrase/ferredoxin-like	sll1203	0.32129576425781314	0.09734979826492755
NC_000911.1	24101	25003	-	protein-coding	SGL_RS01970	sll1202	iron-siderophore ABC transporter substrate-binding protein	sll1202	0.468862465537449	0.01895745723308754
NC_000911.1	25266	27839	-	protein-coding	SGL_RS01975	fhuA3	TonB-dependent siderophore receptor FhuA3	sll1409	0.256260400637179	0.2074054310161327
NC_000911.1	27990	29030	-	protein-coding	SGL_RS01980	sll1408	AraC family transcriptional regulator	sll1408	0.3446336082178592	0.20016773346889985
NC_000911.1	29098	29895	-	protein-coding	SGL_RS01985	sll1407	class I SAM-dependent methyltransferase	sll1407	0.26158937204339444	0.2296855726639991
NC_000911.1	29968	32454	-	protein-coding	SGL_RS01990	fhuA2	TonB-dependent siderophore receptor FhuA2	sll1406	1.2312294593495343	-0.6655104965656633
NC_000911.1	29968	32454	-	protein-coding	SGL_RS01990	fhuA2	TonB-dependent siderophore receptor FhuA2	sll1406	-4.75523323740025	-5.87427800226478
